Woord;Horen;Zien;Ruiken;Proeven;Voelen;Sensaties;Modality;ModalityExclusivity;MaxPercStrength;AvModalityStrength;Minkowski3;Concreteness;ConcretenessCategory;Imageability;ImageabilityCategory;SourceImageability;Frequency;Prevalence;Length;Nsyl;N_phonemes;PoS;OLD20;DLP_RT;DLP_Acc;DCP_RT;DCP_Acc
eind;0,90;3,10;0,00;0,00;0,20;0,00;Zien;0,738095238;3,1;0,70;3,125355693;2,666666667;low;3,73;low;van Loon;3637;2,608827339;4;1;3;N;1,55;526,06;0,926829268;1032,31;1
einddoel;1,10;2,90;0,00;0,00;0,30;0,90;Zien;0,557692308;2,9;0,87;2,980465672;2,133333333;low;3,23;low;van Loon;23;2,566304035;8;2;5;N;2,85;563,79;0,925;1041,47;1
einde;1,80;2,70;0,00;0,00;0,00;0,90;Zien;0,5;2,7;0,90;2,971734524;2,533333333;low;4,63;high;van Loon;4939;2,620314947;5;2;4;N;1,05;469,26;1;899,71;1
eindelijk;0,70;0,60;0,00;0,00;0,30;2,00;Sensaties;0,555555556;2;0,60;2,047687259;1,266666667;low;#N/B;#N/B;#N/B;5087;2,707751033;9;3;7;ADJ;2,1;474,29;1;974,72;1
eindeloos;0,82;1,82;0,00;0,00;0,09;0,36;Zien;0,588235294;1,82;0,52;1,876446278;1,466666667;low;5,1;high;de Deyne et al. 2019;192;2,702017663;9;3;7;ADJ;2,65;512,69;1;1029,11;1
eindfeest;2,75;3,00;0,33;0,25;0,33;0,58;Zien;0,379310345;3;1,21;3,636386883;3,4;high;#N/B;#N/B;#N/B;51;1,470988179;9;2;7;N;3,05;595,09;0,875;1131,17;0,96
eindig;0,64;2,73;0,00;0,00;0,45;0,18;Zien;0,681818182;2,73;0,67;2,743206392;1,733333333;low;#N/B;#N/B;#N/B;163;2,514000814;6;2;5;ADJ;1,85;527,68;0,975609756;1044,25;0,99
eindigen;0,80;1,60;0,00;0,00;0,10;0,00;Zien;0,64;1,6;0,42;1,664187425;2,642857143;low;3,73;low;van Loon;980;2,774420411;8;3;6;WW;1,95;552,38;0,975;1053,02;1
eindproduct;1,30;3,50;1,20;1,90;2,40;0,00;Zien;0,339805825;3,5;1,72;4,071284581;3,2;high;#N/B;#N/B;#N/B;11;3,220676333;11;3;10;N;4,5;603,96;0,975;1102,72;0,99
eindpunt;1,08;3,42;0,08;0,00;0,17;0,75;Zien;0,621212121;3,42;0,92;3,464493625;2,333333333;low;#N/B;#N/B;#N/B;54;3,2283713;8;2;7;N;2,7;507,74;1;997,08;1
eindresultaat;0,90;3,30;0,00;0,00;0,00;0,00;Zien;0,785714286;3,3;0,70;3,322164843;2,4;low;#N/B;#N/B;#N/B;23;2,625121901;13;4;11;N;5,35;595,76;0,926829268;1080,88;0,99
eindstreep;0,00;3,91;0,00;0,00;0,73;0,18;Zien;0,811320755;3,91;0,80;3,917594612;4;high;#N/B;#N/B;#N/B;34;2,687800654;10;2;8;N;3,15;570,30;0,975;1029,03;1
eindwerk;0,67;2,75;0,00;0,00;0,50;0,17;Zien;0,673469388;2,75;0,68;2,76864687;2,866666667;low;#N/B;#N/B;#N/B;6;2,510732276;8;2;7;N;2,55;520,28;0,975609756;1136,25;0,96
eis;3,80;1,00;0,00;0,00;0,00;0,60;Horen;0,703703704;3,8;0,90;3,82786534;1,8;low;3,47;low;van Loon;528;2,245834735;3;1;4;N;1;531,96;0,926829268;1059,91;0,98
eisen;2,23;1,77;0,00;0,00;0,08;0,85;Horen;0,453125;2,23;0,82;2,583591664;2,333333333;low;3,2;low;van Loon;923;2,256637871;5;2;3;WW;1,55;523,64;0,902439024;1032,54;0,99
eiser;1,42;2,08;0,00;0,00;0,00;0,25;Zien;0,555555556;2,08;0,63;2,283117828;2,285714286;low;#N/B;#N/B;#N/B;60;1,567056252;5;2;4;N;1,7;630,52;0,804878049;1185,43;0,94
eisprong;0,08;0,58;0,00;0,00;0,00;2,08;Sensaties;0,757575758;2,08;0,46;2,098511375;3,066666667;high;#N/B;#N/B;#N/B;5;2,009869396;8;2;6;N;2,4;603,43;0,975;1137,4;0,98
eitje;0,00;3,91;3,09;4,45;3,18;0,00;Proeven;0,304347826;4,45;2,44;5,942681206;4,733333333;high;6,8;high;van Loon;238;2,458389463;5;2;4;N;1,4;520,43;0,902439024;1014,14;0,99
eivol;0,00;2,90;0,00;0,20;0,60;0,20;Zien;0,743589744;2,9;0,65;2,909166398;2,909090909;low;#N/B;#N/B;#N/B;0;1,609633684;5;2;4;ADJ;2,2;588,29;0,804878049;1186,57;0,75
eiwit;0,20;3,90;0,90;3,30;1,10;0,00;Zien;0,414893617;3,9;1,57;4,599810956;4,533333333;high;#N/B;#N/B;#N/B;31;2,719628652;5;2;4;N;2,35;523,09;0,926829268;967,27;1
ejaculatie;0,73;3,36;1,00;0,18;1,91;4,09;Sensaties;0,346774194;4,09;1,88;4,861090148;4,133333333;high;#N/B;#N/B;#N/B;21;1,863745813;10;5;10;N;3,05;597,86;0,95;1299,89;0,96
ejaculeren;1,38;3,69;1,31;0,69;2,31;2,92;Zien;0,24375;3,69;2,05;4,527822219;4,066666667;high;#N/B;#N/B;#N/B;10;2,014635344;10;5;9;WW;2,65;564,27;0,925;1347,16;0,96
ekster;2,17;4,17;0,00;0,00;0,58;0,00;Zien;0,602409639;4,17;1,15;4,356944992;4,6;high;5;high;de Deyne et al. 2008;6;2,391958238;6;2;6;N;1,9;618,18;0,825;1081,28;0,99
eksteroog;0,17;3,00;0,00;0,00;0,92;0,58;Zien;0,642857143;3;0,78;3,035626344;4;high;#N/B;#N/B;#N/B;3;2,215745029;9;3;8;N;3,55;650,55;0,804878049;1211,33;0,98
